keywords,id,year,_title,_material,_dimension,_inscription,_provenance
"painting, foriegn landscape, miniature, watercolour",PA-F00920-0039,1977,Louvain,Watercolour,0. 078 x 0. 135 (3 1/8 x 5 3/8 inches ),Signed T. S. And Inscribed: Louvain,Coles bequest 1954 to A. Paul Oppé (1878–1957); D. L. T. Oppé (no no. )
"painting, foriegn landscape, miniature, watercolour",PA-F00920-0041,1977,Louvain,Watercolour,0. 078 x 0. 135 (3 1/8 x 5 3/8 inches ),Signed TS and Inscribed: Louvain,Coles bequest 1954 to A. Paul Oppé (1878–1957); D. L. T. Oppé (no no. )
"painting, foriegn landscape, miniature, watercolour",PA-F00920-0043,1977,Louvain,Watercolour,0. 078 x 0. 135 (3 1/8 x 5 3/8 inches ),Signed T. S. And Inscribed: Louvain,Coles bequest 1954 to A. Paul Oppé (1878–1957). Colle: D. L. T. Oppé (no no)
"drawing, foriegn landscape, miniature",PA-F00920-0059,1977,View Of A French Town,Pencil,0. 206 x 0. 146 (8 1/8 x 5 3/4 inches ),,A. Paul Oppé (1878–1957) 1921. D. L. T. Oppé (1118)
"painting, foriegn landscape",PA-F00920-0075,1973,Said To Be A View Of Bruges,,1. 016 x 1. 270; (40 x 50 inches),,"Painted for Chief Justice Carter as an overmantle for Chilton House ca. 1747. By Descent From Lady Aubrey-Fletcher's fa, ily. Sir John Aubrey-Fletcher, Bart. Chilton Gate House, Chilton, Bucks."
"painting, landscape, miniature",PA-F00921-0023,1977,A Cottage,"Pencil, grey wash",0. 118 x 0. 185 (4 5/8 x 7 1/4 inches ),,A. Paul Oppé (1878–1957) 1921. D. L. T. Oppé (1116)
"drawing, foriegn landscape, miniature",PA-F00921-0061,1977,A Ruin 1692,Pen and grey wash,0. 115 x 0. 165 (4 1/2 x 6 1/2 inches ),,A. Paul Oppé (1878–1957) 1925. D. L. T. Oppé (1781a)
"painting, landscape, seascape",PA-F00922-0015,1970-1971,Old Fort And River Bank,,,,"Victoria Memorial, Calcutta"
"drawing, male portrait, miniature",PA-F00923-0011,1977,Standing Male Nude,Pen and black chalk,0. 152 x 0. 108 (6 x 4 1/4 inches ),,D. L. T. Oppé (no no. )
"drawing, male portrait",PA-F00923-0013,1977,Male Nude,Pen,,,A. Paul Oppé (1878–1957) 1922. D. L. T. Oppé (1505)
"painting, watercolour, female portrait, foriegn landscape",PA-F00923-0023,1977,Indian Coolie,Watercolour and bodycolour,0. 138 x 0. 180 (5 3/8 x 7 1/8 inches ),,A. Paul Oppé (1878–1957) 1913. D. L. T. Oppé (301)
"drawing, group portrait, miniature",PA-F00925-0011,1977,Three Beggars,Pen,0. 290 x 0. 240 (7 1/8 x 9 3/8 inches ),,A. Paul Oppé (1878–1957) 1921. D. L. T. Oppé (1330)
"painting, allegory, group portrait",PA-F00925-0025,1972,Time Delivering Truth From Anger And Envy,,,,"Private Collection, Ven House, Somerset"
"drawing, miniature, group portrait",PA-F00925-0041,1977,Figures Dancing Or Brawling,Pencil,0. 118 x 0. 158 (4 3/8 x 6 1/4 inches ),,D. L. T. Oppé (no no. )
"greywash, drawing, historical event, group portrait",PA-F00925-0063,1977,Historical Scene,Pen and grey wash,0. 190 x 0. 112 (7 1/2 x 4 3/8 inches ),,A. Paul Oppé (1878–1957); D. L. T. Oppé (1154)
"painting, historical event, foriegn landscape",PA-F00925-0091,1964,The Embarkation Of Henry VIII At Boulogne,,1. 689 x 3. 467 (66 1/2 x 135 3/4 inches ),,"First documented by Paymaster of the Works 1588-89 as in the Presence Chamber, Whitehall. Moved to First Privy Gallery, Greenwich. Commonwealth sale, 23 October 1651, bought Captain Stone. Returned to Crown at Restoration and placed in King's Privy Galler"
"painting, male portrait",PA-F00927-0009,1993,"Isaac Bickerstaff, Esq",,,Engraving,British Museum
